x,y,z,yaw,V,a
21921.39308,51753.80591,257.9,1.50029119,56.21503264026485,1.1073591818720598
21921.65339,51757.49187,257.9,1.47554165,56.28777478279961,1.0802228000400849
21922.10921,51762.26275,257.9,1.470635917,56.37967500391925,1.0818392803032448
21922.59318,51767.07839,257.9,1.477490847,56.47246884755789,1.069760951102454
21923.04493,51771.90604,257.9,1.486662333,56.56424421688845,1.067569658944924
21923.45095,51776.72051,257.9,1.480501773,56.65535965732943,1.0693311324941914
21923.88578,51781.52306,257.9,1.483008402,56.74630229507013,1.0729320784387464
21924.30894,51786.33092,257.9,1.481638221,56.83748518276503,1.0751843574674584
21924.73912,51791.14311,257.9,1.478390634,56.92880614529766,1.0769142783494337
21925.18527,51795.95744,257.9,1.47852229,57.02019502509291,1.0779984142883496
21925.63092,51800.77335,257.9,1.487790651,57.11155827269216,1.07950474326639
21926.03181,51805.59201,257.9,1.484420479,57.202880720586,1.081254967961189
21926.44773,51810.3953,257.9,1.48202526,57.29394028624966,1.08499155213557
21926.8756,51815.20243,257.9,1.484539402,57.38526137655168,1.0872738014839833
21927.29099,51820.00625,257.9,1.476684556,57.47654599640749,1.0890145242143952
21927.74543,51824.82078,257.9,1.484866623,57.56809997527438,1.0686357654370662
21928.15928,51829.62506,257.9,1.477723081,57.65754254143275,1.0640330567918137
21928.60853,51834.43789,257.9,1.48029927,57.74667744294929,1.0656914373868698
21929.04547,51839.25302,257.9,1.479783641,57.83583498680679,0.9932382429901857
21929.48231,51844.0394,257.9,1.473626681,57.91831625181838,0.9734596858411279
21929.95166,51848.85449,257.9,1.474235,57.99957223760595,0.9748490155557143
21930.4194,51853.68334,257.9,1.491068981,58.08105752695458,0.977523110780038
21930.80378,51858.49426,257.9,1.484717929,58.1622281840691,0.9793008722419141
21931.21754,51863.28934,257.9,1.47727548,58.24320851601463,0.9807093760289337
21931.66953,51868.10825,257.9,1.490383347,58.32464937103583,1.0110285588601298
21932.05779,51872.92612,257.9,1.482319887,58.40837538702728,1.0208743322807
21932.48439,51877.73514,257.9,1.490756917,58.49269768713427,1.022276407901976
21932.87377,51882.58961,257.9,1.505337975,58.577749871342505,0.86523137793752
21933.18893,51887.39735,257.9,1.488004418,58.64887254792602,0.8228003791791265
21933.58536,51892.17474,257.9,1.486146296,58.71608764307606,0.823771178086973
21933.99509,51897.00337,257.9,1.493290799,58.78403617929382,0.6954707949410293
21934.37009,51901.83209,257.9,1.496605168,58.841308623199055,0.6590387101578791
21934.72822,51906.65031,257.9,1.490909048,58.895398006887554,0.6596991343358428
21935.11304,51911.45707,257.9,1.491108584,58.94938700893643,0.7583970806742885
21935.49814,51916.27946,257.9,1.501828883,59.011592822904966,0.7871912296465113
21935.83083,51921.09571,257.9,1.487655977,59.075957681559295,0.7882238046800614
21936.23077,51925.89513,257.9,1.489264115,59.14018121507385,0.9237532739672663
21936.62429,51930.71091,257.9,1.49030209,59.21560499026523,0.9642723327768702
21937.01296,51935.52902,257.9,1.494064446,59.29426615567399,0.9655019820636288
21937.3834,51940.34726,257.9,1.495421808,59.37290204231034,1.0079720835980517
21937.74708,51945.16313,257.9,1.490547231,59.45483719236438,1.0214400928000607
21938.13453,51949.98089,257.9,1.493649042,59.537816116856966,1.0228282136982048
21938.507,51954.79935,257.9,1.497390154,59.620783852711085,1.017107373385474
21938.86098,51959.61286,257.9,1.492990297,59.70306542504752,1.0165189033571613
21939.23588,51964.42152,257.9,1.492611594,59.78513088600883,1.0179171245994327
21939.61281,51969.2327,257.9,1.491281993,59.86724190764514,1.018454574565079
21939.99722,51974.05703,257.9,1.491751373,59.94951644368742,1.0195685513947887
21940.37829,51978.8678,257.9,1.490787061,60.03153395715377,1.020977922802781
21940.76456,51983.68538,257.9,1.495574814,60.1136750230859,1.0297910950141387
21941.12772,51988.50413,257.9,1.493976764,60.19640089805692,1.0334396415249978
21941.49854,51993.32175,257.9,1.500559033,60.27929639237714,1.0336129102338174
21941.83912,51998.16273,257.9,1.502997784,60.36245280175434,1.033234040656565
21942.16611,52002.97833,257.9,1.497815349,60.44501556631455,1.0342460782540588
21942.51752,52007.78491,257.9,1.485787784,60.52742201615168,1.0358603946140867
