x,y,z,yaw,V,a,dist,time
21964.50659,52267.89685,217.9213165,1.484664318,1.0,0.0,515.9129650051543,515.9129650051543
21964.92221,52272.71027,215.7147577,1.476564746,1.0,0.0,520.7442952651196,520.7442952651196
21965.37475,52277.49847,213.3399676,1.475741203,1.0,0.0,525.553832840766,525.553832840766
21965.83203,52282.29476,210.7752035,1.47436366,1.0,0.0,530.37187214763,530.37187214763
21966.30213,52287.15449,207.9401492,1.485452327,1.0,0.0,535.2542864769281,535.2542864769281
21966.71359,52291.96398,204.7496427,1.478565805,1.0,0.0,540.0813449385272,540.0813449385272
21967.15823,52296.77128,201.0198822,1.491992802,1.0,0.0,544.909164116956,544.909164116956
21967.5392,52301.5957,196.2734646,1.474857325,1.0,0.0,549.7486027700719,549.7486027700719
21967.99862,52306.36967,196.2734646,1.482925583,1.0,0.0,554.5446278218537,554.5446278218537
21968.42288,52311.1854,196.2734646,1.475329773,1.0,0.0,559.3790100968213,559.3790100968213
21968.88304,52315.99091,196.2734646,1.483572872,1.0,0.0,564.2065015349997,564.2065015349997
21969.30345,52320.79855,196.2734646,1.476401199,1.0,0.0,569.0324881634199,569.0324881634199
21969.75889,52325.60907,196.2734646,1.479427332,1.0,0.0,573.864519647588,573.864519647588
21970.20041,52330.42792,196.2734646,1.483585237,1.0,0.0,578.7035541827956,578.7035541827956
21970.62183,52335.24786,196.2734646,1.479521887,1.0,0.0,583.5418820365082,583.5418820365082
21971.06114,52340.04751,196.2734646,1.474576303,1.0,0.0,588.361595036111,588.361595036111
21971.5232,52344.83479,196.2734646,1.478565284,1.0,0.0,593.1711219610837,593.1711219610837
21971.96804,52349.64422,196.2734646,1.285168319,1.0,0.0,598.0010805065074,598.0010805065074
21973.36256,52354.39302,196.2734646,1.195703236,1.0,0.0,602.9504024267724,602.9504024267724
21975.25187,52359.19148,196.2734646,0.962846772,1.0,0.0,608.1074084038561,608.1074084038561
21978.38026,52363.68711,196.2734646,0.869645093,1.0,0.0,613.5844069513262,613.5844069513262
21981.28439,52367.12698,196.2734646,0.358608595,1.0,0.0,618.0862595337423,618.0862595337423
21984.48554,52368.32681,196.2734646,0.436498669,1.0,0.0,621.5048781657923,621.5048781657923
21987.43915,52369.7047,196.2734646,0.455879472,1.0,0.0,624.7640794305489,624.7640794305489
21991.21197,52371.55463,196.2734646,0.253995742,1.0,0.0,628.9660327569559,628.9660327569559
21995.99618,52372.79662,196.2734646,0.301747449,1.0,0.0,633.908825943423,633.908825943423
22000.94029,52374.33548,196.2734646,0.321181171,1.0,0.0,639.0868867572515,639.0868867572515
22005.62941,52375.89555,196.2734646,0.336267639,1.0,0.0,644.0287148379646,644.0287148379646
22009.58426,52377.27795,196.2734646,0.568461986,1.0,0.0,648.2182098293081,648.2182098293081
22012.35321,52379.04676,196.2734646,0.732708879,1.0,0.0,651.5039019814409,651.5039019814409
22014.82506,52381.27094,196.2734646,1.030806522,1.0,0.0,654.8291116131651,654.8291116131651
22016.55354,52384.15454,199.2568639,0.970494723,1.0,0.0,658.1910741457361,658.1910741457361
22018.88408,52387.55887,201.3828441,1.21444869,1.0,0.0,662.316710998451,662.316710998451
22020.47119,52391.82259,203.29193,1.390504498,1.0,0.0,666.8662413467972,666.8662413467972
22021.3367,52396.57104,205.0048685,1.624702786,1.0,0.0,671.6929260229068,671.6929260229068
22021.07569,52401.4083,206.6223895,1.542831566,1.0,0.0,676.5372227239462,676.5372227239462
22021.21415,52406.35862,208.2355399,1.732647849,1.0,0.0,681.489478702181,681.489478702181
22020.43322,52411.14146,209.834285,1.840906562,1.0,0.0,686.3356534958198,686.3356534958198
22019.1343,52415.83275,211.427154,1.834312949,1.0,0.0,691.2034450926855,691.2034450926855
22017.86407,52420.54097,212.9905084,1.827677577,1.0,0.0,696.0800032868741,696.0800032868741
22016.62526,52425.25693,214.5221826,1.822214905,1.0,0.0,700.9559574435198,700.9559574435198
22015.41615,52429.96435,216.0133355,1.827170889,1.0,0.0,705.8161786368903,705.8161786368903
22014.18309,52434.66811,217.4615889,1.838052796,1.0,0.0,710.6788728593533,710.6788728593533
22012.89687,52439.36564,218.861858,1.826933604,1.0,0.0,715.5493091836821,715.5493091836821
22011.66411,52444.07279,220.2083827,1.832369589,1.0,0.0,720.4152066692492,720.4152066692492
22010.40666,52448.76993,221.5242555,1.809517209,1.0,0.0,725.2777476389623,725.2777476389623
22009.25922,52453.4849,222.7855896,1.816586878,1.0,0.0,730.1303305238299,730.1303305238299
22008.07549,52458.2035,224.026153,1.835565994,1.0,0.0,734.9951432306977,734.9951432306977
22006.80222,52462.8996,225.2214579,1.827558799,1.0,0.0,739.8607954688705,739.8607954688705
22005.56884,52467.59715,226.3878853,1.819032752,1.0,0.0,744.7175641710988,744.7175641710988
22004.38204,52472.27947,227.5160134,1.804778556,1.0,0.0,749.5479487129752,749.5479487129752
22003.26423,52476.96929,228.6214516,1.798033659,1.0,0.0,754.3691426344532,754.3691426344532
22002.18222,52481.64864,229.7056262,1.789493098,1.0,0.0,759.1719607720252,759.1719607720252
22001.14706,52486.30624,230.7724958,1.743765242,1.0,0.0,763.9432073581477,763.9432073581477
22000.32508,52491.01098,231.8110423,1.741086054,1.0,0.0,768.7192129682795,768.7192129682795
21999.51608,52495.71567,232.8432364,1.737709186,1.0,0.0,773.4929524873655,773.4929524873655
21998.7284,52500.3909,233.8488337,1.711895667,1.0,0.0,778.234072116241,778.234072116241
21998.06097,52505.0896,234.8346507,1.696570717,1.0,0.0,782.9799381589048,782.9799381589048
21997.45952,52509.84633,235.8073373,1.694922677,1.0,0.0,787.7745416248243,787.7745416248243
21996.8709,52514.56412,236.7688525,1.660134847,1.0,0.0,792.5289097204309,792.5289097204309
21996.44615,52519.30579,237.7021024,1.660137764,1.0,0.0,797.2895658675772,797.2895658675772
21996.01909,52524.07325,238.6310306,1.638341411,1.0,0.0,802.0761152609527,802.0761152609527
21995.6974,52528.82849,239.5434429,1.629506622,1.0,0.0,806.8422239371882,806.8422239371882
21995.41733,52533.59348,240.4406313,1.610619581,1.0,0.0,811.6154376245305,811.6154376245305
21995.22907,52538.31824,241.3203265,1.579571589,1.0,0.0,816.343946785479,816.343946785479
21995.18738,52543.06862,242.1909543,1.571591282,1.0,0.0,821.0945097205929,821.0945097205929
21995.18359,52547.84054,243.0590935,1.55126398,1.0,0.0,825.8664312256569,825.8664312256569
21995.27594,52552.5681,243.4871016,1.521693787,1.0,0.0,830.5948931400741,830.5948931400741
21995.50941,52557.31908,243.9133923,1.515260307,1.0,0.0,835.3516062070291,835.3516062070291
21995.77642,52562.12188,244.3371721,1.51226928,1.0,0.0,840.161822644995,840.161822644995
21996.05754,52566.91975,244.756554,1.503753009,1.0,0.0,844.9679213738314,844.9679213738314
21996.37706,52571.6784,245.1721353,1.492362686,1.0,0.0,849.7372864104858,849.7372864104858
21996.75114,52576.43794,245.5840757,1.492140222,1.0,0.0,854.5115043420492,854.5115043420492
21997.13286,52581.28097,245.992878,1.4921287,1.0,0.0,859.369554335541,859.369554335541
21997.51539,52586.13356,246.3969416,1.492097054,1.0,0.0,864.2371984175401,864.2371984175401
21997.8953,52590.95103,246.7953452,1.492110278,1.0,0.0,869.0696252208085,869.0696252208085
21998.27602,52595.77949,247.1899268,1.492017622,1.0,0.0,873.9130716889798,873.9130716889798
21998.65313,52600.55649,247.5792545,1.489269424,1.0,0.0,878.7049336394241,878.7049336394241
21999.04441,52605.34536,247.9635426,1.489236487,1.0,0.0,883.5097620354512,883.5097620354512
21999.43936,52610.17693,248.3449114,1.48923261,1.0,0.0,888.3574474798073,888.3574474798073
21999.83297,52614.9921,248.7207122,1.489230691,1.0,0.0,893.188678271336,893.188678271336
22000.22605,52619.80059,249.0924351,1.489232265,1.0,0.0,898.0132080895112,898.0132080895112
22000.61876,52624.60459,249.4597788,1.489220633,1.0,0.0,902.8332326894625,902.8332326894625
22001.01328,52629.43012,249.8218891,1.489220578,1.0,0.0,907.6748631804486,907.6748631804486
22001.40779,52634.25548,250.1816769,1.489200601,1.0,0.0,912.5163234219177,912.5163234219177
22001.80033,52639.0557,250.5369338,1.489202414,1.0,0.0,917.3325667401039,917.3325667401039
22002.19259,52643.85232,250.8897081,1.489173209,1.0,0.0,922.1451992143335,922.1451992143335
22002.58783,52648.68389,251.2368826,1.489173787,1.0,0.0,926.9929082941486,926.9929082941486
22002.98305,52653.5152,251.5805303,1.489124239,1.0,0.0,931.8403566089337,931.8403566089337
22003.37492,52658.30262,251.9230135,1.483716572,1.0,0.0,936.6437879192894,936.6437879192894
